City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Pemangkat,ID,2022-01-25 15:10:05,1.1667,108.9667,77.56,88,99,7.85
231,Gilbues,BR,2022-01-25 15:10:05,-9.8317,-45.3439,86.47,48,56,5.95
232,Gornopravdinsk,RU,2022-01-25 15:11:06,60.05,69.9,-4.2,100,98,2.93
233,Bangassou,CF,2022-01-25 15:11:06,4.7413,22.8184,98.38,14,91,3.11
234,Georgetown,MY,2022-01-25 15:09:39,5.4112,100.3354,80.53,83,20,0.0
235,Berlevag,NO,2022-01-25 15:11:06,70.8578,29.0864,28.35,86,40,33.38
236,Yelizovo,RU,2022-01-25 15:11:07,53.1873,158.3805,0.1,77,14,8.99
237,Wexford,IE,2022-01-25 15:11:07,52.3342,-6.4575,47.66,81,100,5.3
238,Ulladulla,AU,2022-01-25 15:11:07,-35.35,150.4667,67.87,89,10,3.2
239,Cockburn Town,TC,2022-01-25 15:11:08,21.4612,-71.1419,76.41,72,2,2.55
240,Rio Gallegos,AR,2022-01-25 15:11:08,-51.6226,-69.2181,53.65,43,20,34.52
241,Vuktyl,RU,2022-01-25 15:11:08,63.8567,57.3094,21.13,94,100,12.77
242,Okhotsk,RU,2022-01-25 15:11:09,59.3833,143.3,-7.19,96,100,5.3
243,Guanambi,BR,2022-01-25 15:11:09,-14.2233,-42.7814,84.87,49,65,2.82
244,Basco,PH,2022-01-25 15:11:09,20.4487,121.9702,74.75,80,97,23.94
245,Yabrud,SY,2022-01-25 15:11:10,33.9674,36.6574,37.06,78,32,10.49
246,Broken Hill,AU,2022-01-25 15:11:10,-31.95,141.4333,79.48,57,100,12.01
247,Chuy,UY,2022-01-25 15:10:55,-33.6971,-53.4616,86.47,63,100,4.41
248,Aloleng,PH,2022-01-25 15:11:10,16.1307,119.7824,78.62,79,5,6.08
249,Gasa,PS,2022-01-25 15:08:42,31.5,34.4667,55.38,60,29,9.6
250,Mareeba,AU,2022-01-25 15:11:11,-17.0,145.4333,75.43,96,100,1.41
251,Saint Anthony,US,2022-01-25 15:11:11,45.0205,-93.218,-6.05,76,0,1.99
252,Novozybkov,RU,2022-01-25 15:11:11,52.5396,31.9275,20.93,95,100,6.62
253,Namatanai,PG,2022-01-25 15:11:12,-3.6667,152.4333,80.58,79,100,4.81
254,Coahuayana,MX,2022-01-25 15:11:12,18.7333,-103.6833,80.08,50,0,3.04
255,Manokwari,ID,2022-01-25 15:11:12,-0.8667,134.0833,79.34,83,100,1.97
256,Sao Joao Da Barra,BR,2022-01-25 15:11:13,-21.6403,-41.0511,86.09,76,19,10.89
257,Sabha,LY,2022-01-25 15:11:13,27.0377,14.4283,57.96,31,10,10.94
258,Saint George,US,2022-01-25 15:07:44,37.1041,-113.5841,39.54,74,0,3.44
259,Samarai,PG,2022-01-25 15:11:13,-10.6167,150.6667,82.94,77,100,5.23
260,Sechura,PE,2022-01-25 15:11:14,-5.5569,-80.8222,74.08,74,100,8.12
261,Eravur,LK,2022-01-25 15:11:14,7.7733,81.6095,75.96,75,92,7.25
262,Umm Kaddadah,SD,2022-01-25 15:11:14,13.6017,26.6876,81.82,12,23,15.3
263,Manta,EC,2022-01-25 15:09:21,-0.95,-80.7333,74.98,83,100,2.3
264,Vila Velha,BR,2022-01-25 15:09:09,-20.3297,-40.2925,84.43,78,75,1.01
265,Cabo San Lucas,MX,2022-01-25 15:10:54,22.8909,-109.9124,66.51,73,0,6.91
266,Marystown,CA,2022-01-25 15:11:06,47.1666,-55.1483,29.46,75,100,13.71
267,Popondetta,PG,2022-01-25 15:11:15,-8.7537,148.2534,75.63,97,100,2.04
268,Porto Novo,BJ,2022-01-25 15:11:15,6.4965,2.6036,92.05,27,28,11.52
269,Inuvik,CA,2022-01-25 15:11:16,68.3499,-133.7218,30.96,100,100,9.22
270,Lorengau,PG,2022-01-25 15:11:16,-2.0226,147.2712,81.27,81,20,6.91
271,Luganville,VU,2022-01-25 15:11:16,-15.5333,167.1667,78.84,87,67,3.83
272,Mount Gambier,AU,2022-01-25 15:11:17,-37.8333,140.7667,74.26,38,9,4.94
273,Santa Lucia,ES,2022-01-25 15:11:17,27.9117,-15.5407,60.76,63,40,20.71
274,Sioux Lookout,CA,2022-01-25 15:11:17,50.1001,-91.917,-24.39,97,47,5.3
275,Orikum,AL,2022-01-25 15:11:18,40.3253,19.4714,40.68,42,0,13.85
276,Tinskoy,RU,2022-01-25 15:11:18,56.1525,96.9161,9.23,97,100,2.35
277,Oussouye,SN,2022-01-25 15:11:19,12.485,-16.5469,94.91,13,100,6.64
278,Oxford,GB,2022-01-25 15:11:19,51.7522,-1.256,39.22,88,100,3.44
279,College,US,2022-01-25 15:12:20,64.8569,-147.8028,30.15,83,100,14.97
280,Pingshan,CN,2022-01-25 15:12:20,22.9938,114.7131,65.89,93,1,3.33
281,Ayni,TJ,2022-01-25 15:12:20,39.3941,68.5377,19.62,64,7,7.16
282,Leticia,CO,2022-01-25 15:12:21,-4.2153,-69.9406,77.05,94,75,2.3
283,Sagarejo,GE,2022-01-25 15:12:21,41.734,45.3315,34.23,43,96,3.0
284,Khlevnoye,RU,2022-01-25 15:12:21,52.1951,39.0932,14.02,97,100,3.91
285,Preobrazheniye,RU,2022-01-25 15:12:21,42.9019,133.9064,24.87,65,100,3.96
286,Angahuan,MX,2022-01-25 15:12:22,19.55,-102.1833,43.39,55,3,1.7
287,Mar Del Plata,AR,2022-01-25 15:12:22,-38.0023,-57.5575,84.22,95,40,15.01
288,Apatity,RU,2022-01-25 15:12:22,67.5641,33.4031,14.09,94,66,5.99
289,Haines Junction,CA,2022-01-25 15:12:23,60.7522,-137.5108,26.55,74,99,2.3
290,Aktau,KZ,2022-01-25 15:12:23,43.65,51.2,37.98,84,100,12.84
